day,f_k
116,5.390796385951191e-07
117,4.768402946941919e-07
118,4.2175476777650545e-07
119,3.7300499411418997e-07
120,3.2986590559058726e-07
121,2.9169493076519615e-07
122,2.57922672441957e-07
123,2.2804463006842468e-07
124,2.0161385072547944e-07
125,1.7823440667807944e-07
126,1.575556056732097e-07
127,1.3926685482612555e-07
128,1.2309310204461354e-07
129,1.0879079292980265e-07
130,9.614428464477243e-08
131,8.496266445945366e-08
132,7.507692967312352e-08
133,6.633748617090873e-08
134,5.861193119738317e-08
135,5.178308848385882e-08
136,4.574726508721483e-08
137,4.041270795784868e-08
138,3.5698236144909856e-08
139,3.1532027655600814e-08
140,2.7850546091556794e-08
141,2.4597589076691406e-08
142,2.1723445153831733e-08
143,1.9184148158934988e-08
144,1.6940815084076633e-08
145,1.4959061878094815e-08
146,1.320848441732636e-08
147,1.1662199983497601e-08
148,1.0296441033119663e-08
149,9.090195374206189e-09
150,8.024888753510595e-09
151,7.0841018606770945e-09
152,6.253322526461602e-09
153,5.519723900171414e-09
154,4.8719706047251066e-09
155,4.30004476470458e-09
156,3.795093905800684e-09
157,3.349296506804933e-09
158,2.955741207344431e-09
159,2.6083216697614375e-09
160,2.301643875490811e-09
161,2.0309417481101377e-09
162,1.7920060990661568e-09
163,1.5811181253155837e-09
164,1.3949936761292747e-09
165,1.2307317387438843e-09
166,1.08577047353009e-09
167,9.578474680083104e-10
168,8.449645427788255e-10
169,7.453576644778082e-10
170,6.574687461124995e-10
171,5.799226654445988e-10
172,5.115046164405612e-10
173,4.511425677478087e-10
174,3.978900542378483e-10
175,3.5091141104004464e-10
176,3.094690059768368e-10
177,2.7291180426658457e-10
178,2.4066515447174197e-10
179,2.122216846700553e-10
180,1.8713386396029819e-10
181,1.6500645294570404e-10
182,1.4549095261884304e-10
183,1.2827949813498662e-10
184,1.1310075098691641e-10
185,9.971490300131336e-11
186,8.791056771428885e-11
187,7.750144970231077e-11
188,6.832279186852475e-11
189,6.022948806361228e-11
190,5.30931965059267e-11
191,4.6801118536166086e-11
192,4.1253667149021567e-11
193,3.636257961403544e-11
194,3.2050695430996257e-11
195,2.8249180772377258e-11
196,2.4897972572546223e-11
197,2.194366910401868e-11
198,1.9339418955155452e-11
199,1.7043810807138016e-11
200,1.5020318322456205e-11
201,1.3236634011093429e-11
202,1.1664558208224207e-11
203,1.0278777828887087e-11
204,9.057643524101877e-12
205,7.981171279425325e-12
206,7.0325967271855916e-12
207,6.196487767340386e-12
208,5.459743768199132e-12
209,4.810485343398341e-12
210,4.238276396506535e-12
211,3.7341241210242515e-12
212,3.289812866569264e-12
213,2.898237205783971e-12
214,2.5534019343353975e-12
215,2.249311847890567e-12
216,1.9815260543509794e-12
217,1.7456036616181336e-12
218,1.5376588891058418e-12
219,1.354472090042691e-12
220,1.1931566845646557e-12
221,1.0509371151101732e-12
222,9.257039579324555e-13
223,8.15347789284715e-13
224,7.180922523275513e-13
225,6.326050794314142e-13
226,5.571099137569036e-13
227,4.906075545818567e-13
228,4.3209880118411093e-13
229,3.8058445284150366e-13
230,3.3517633113433476e-13
231,2.950972799453666e-13
232,2.6001423236721166e-13
233,2.2881696537524476e-13
234,2.0161650127192843e-13
235,1.7752466163756253e-13
236,1.5631940186722204e-13
237,1.375566327510569e-13
238,1.212363542890671e-13
239,1.0669243266647754e-13
240,9.403589018575076e-14
241,8.271161533457416e-14
242,7.283063041541027e-14
243,6.417089082333405e-14
244,5.639932965095795e-14
245,4.973799150320701e-14
246,4.374278717023117e-14
247,3.863576125695545e-14
248,3.3861802251067274e-14
249,2.986499936241671e-14
250,2.631228568361621e-14
251,2.3203661214665772e-14
252,2.0317081350640365e-14
253,1.7985612998927536e-14
254,1.5765166949677223e-14
255,1.3877787807814457e-14
256,1.2212453270876722e-14
257,1.0769163338864018e-14
258,9.547918011776346e-15
259,8.326672684688674e-15
260,7.327471962526033e-15
261,6.439293542825908e-15
262,5.773159728050814e-15
263,4.9960036108132044e-15
264,4.440892098500626e-15
265,3.885780586188048e-15
266,3.3306690738754696e-15
267,2.9976021664879227e-15
268,2.6645352591003757e-15
269,2.3314683517128287e-15
270,2.1094237467877974e-15
271,1.7763568394002505e-15
272,1.5543122344752192e-15
273,1.4432899320127035e-15
274,1.2212453270876722e-15
275,1.1102230246251565e-15
276,8.881784197001252e-16
277,8.881784197001252e-16
278,6.661338147750939e-16
279,6.661338147750939e-16
280,5.551115123125783e-16
281,5.551115123125783e-16
282,4.440892098500626e-16
283,3.3306690738754696e-16
284,3.3306690738754696e-16
285,3.3306690738754696e-16
286,3.3306690738754696e-16
287,2.220446049250313e-16
288,1.1102230246251565e-16
289,2.220446049250313e-16
290,2.220446049250313e-16
291,1.1102230246251565e-16
292,1.1102230246251565e-16
293,1.1102230246251565e-16
294,1.1102230246251565e-16
295,0.0
296,1.1102230246251565e-16
297,1.1102230246251565e-16
298,0.0
299,1.1102230246251565e-16
300,0.0
301,0.0
302,1.1102230246251565e-16
303,0.0
304,0.0
305,0.0
306,1.1102230246251565e-16
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,1.1102230246251565e-16
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.0
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,0.0
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
